,CI_NAME,EQUIPTYPE
1448,JSAV01,BTS
1449,JSCE01,BTS
1450,JSCE02,BTS
1451,JSMO01,BTS
1452,JSMW01,BTS
1453,JSNR01,BTS
1454,JSRC01,BTS
1455,JSSL01,BTS
1456,JSVL01,BTS
1457,LAJE01,BTS
1458,LAMO01,BTS
1459,LBLI01,BTS
1460,LCDP01,BTS
1461,LDAG20,BTS
1462,LDAL33,BTS
1463,LDAU19,BTS
1464,LDBA14,BTS
1465,LDBH01,BTS
1466,LDCS02,BTS
1467,LDEL25,BTS
1468,LDGP35,BTS
1469,LDIL23,BTS
1470,LDJA01,BTS
1471,LDJB03,BTS
1472,LDJC04,BTS
1473,LDJE22,BTS
1474,LDJP21,BTS
1475,LDLR29,BTS
1476,LDMC17,BTS
1477,LDNW05,BTS
1478,LDPC06,BTS
1479,LDPE07,BTS
1480,LDPL32,BTS
1481,LDPS01,BTS
1482,VJVJ00,BTS
1483,VLCB01,BTS
1484,VLCB02,BTS
1485,VLCB03,BTS
1486,VLCB04,BTS
1487,VLCB05,BTS
1488,VLCB06,BTS
1489,VLCB07,BTS
1490,VLDC01,BTS
1491,VLJG01,BTS
1492,VLJP01,BTS
1493,VLNM01,BTS
1494,VLSE01,BTS
1495,VLSF01,BTS
1496,VLSV02,BTS
1497,VLVA01,BTS
1498,VLVR01,BTS
1499,VMCT01,BTS
1500,VMIM01,BTS
1501,VMIM02,BTS
1502,VNCT01,BTS
1503,VNMA01,BTS
1504,VNPI00,BTS
1505,VNRD01,BTS
1506,VOCT01,BTS
1507,VOVO00,BTS
1508,VOVO01,BTS
1509,VPJB01,BTS
1510,VPJP01,BTS
1511,VPPG01,BTS
1512,VPRS01,BTS
1513,VPVP00,BTS
1514,VPVP01,BTS
1515,VQCT01,BTS
1516,VRCT01,BTS
1517,VRCT02,BTS
1518,LDRB37,BTS
1527,LDRN27,BTS
1528,LDSA18,BTS
1529,LDSA30,BTS
1530,LDSC15,BTS
1531,LDSF09,BTS
1532,LDSJ28,BTS
1533,LDSM10,BTS
1534,LDSN17,BTS
1535,LDSR13,BTS
1536,LDST08,BTS
1537,LDTV11,BTS
1575,LDUV26,BTS
1576,LDVR24,BTS
1577,LDWA12,BTS
1578,KPKB01,BTS
1579,JVFL01,BTS
1580,JVFP01,BTS
1581,JVGS01,BTS
1582,JVHG01,BTS
1583,JVID01,BTS
1584,JVIG01,BTS
1585,JVIN01,BTS
1586,JVIR01,BTS
1587,JVIS01,BTS
1588,JVIT01,BTS
1589,JVJC01,BTS
1590,JVJP01,BTS
1591,JVJR01,BTS
1592,JVJS01,BTS
1593,JVNB01,BTS
1594,JVNI01,BTS
1595,JVPI01,BTS
1596,JVPM01,BTS
1597,JVPT01,BTS
1598,JVRB01,BTS
1599,JVRP01,BTS
1600,JVRX01,BTS
1601,JVSH01,BTS
1602,JVSM01,BTS
1603,JVST01,BTS
1604,JVTG01,BTS
1605,JVTY01,BTS
1606,JVVX01,BTS
1607,JZCT01,BTS
1608,JZCT02,BTS
1609,JZOB02,BTS
1610,KACE01,BTS
1611,KARV01,BTS
1612,KBCE01,BTS
1613,KCCE01,BTS
1614,KDKR01,BTS
1615,KDKR02,BTS
1616,KDKR03,BTS
1617,KDKR05,BTS
1618,KDMO01,BTS
1624,KEMO01,BTS
1717,KFCE01,BTS
1718,KFMO01,BTS
1719,KGMO01,BTS
1720,KICE51,BTS
1721,KLRB01,BTS
1722,KMCE01,BTS
1723,KMSD01,BTS
1725,KNSC51,BTS
1726,KOAG01,BTS
1727,KOEB01,BTS
1728,KOJB01,BTS
1729,KOPA01,BTS
1730,KOSU01,BTS
1731,KPCE01,BTS
1732,MSAO00,BTS
1733,MSAO01,BTS
1734,MSAO02,BTS
1735,MSAS00,BTS
1736,MSAS01,BTS
1737,MSAS02,BTS
1738,MSCA00,BTS
1739,MSCC00,BTS
1740,MSCE00,BTS
1741,PCUN01,BTS
1742,PCUN02,BTS
1743,PCVI02,BTS
1744,PCVN01,BTS
1745,PDFT01,BTS
1746,PDGS01,BTS
1747,PDMR01,BTS
1748,PDPD00,BTS
1749,PDRS01,BTS
1750,MSAE02,BTS
1751,PDRS02,BTS
1752,PDUT01,BTS
1753,PDUT02,BTS
1755,SPZZ30,BTS
1756,SRBH21,BTS
1757,SRCT01,BTS
1758,SRFS01,BTS
1759,SRFS02,BTS
1760,SRFS03,BTS
1761,SRFS04,BTS
1804,SRFS05,BTS
1805,SRFS06,BTS
1806,SRGP01,BTS
1807,SRJB01,BTS
1808,MAGE02,BTS
1809,LFCR01,BTS
1810,LGAB01,BTS
1811,LGBC01,BTS
1812,LGBP01,BTS
1813,LGCE01,BTS
1814,LGCE02,BTS
1815,LGCE03,BTS
1816,LGKB01,BTS
1817,LGMO01,BTS
1818,LGPE01,BTS
1819,LGPH01,BTS
1820,LGSC01,BTS
1821,LGVM01,BTS
1822,LICE01,BTS
1823,LINH01,BTS
1824,LINH02,BTS
1825,LINH03,BTS
1826,LINH04,BTS
1827,LINH05,BTS
1828,LINH06,BTS
1829,LINH07,BTS
1830,LINH08,BTS
1831,LINH09,BTS
1832,LINH10,BTS
1833,LJCE01,BTS
1834,LJOR01,BTS
1835,LJOR02,BTS
1836,LJOR03,BTS
1837,LJOR04,BTS
1838,LJOR05,BTS
1839,LJTE01,BTS
1840,LMTN51,BTS
1841,LNCE01,BTS
1842,LOAG02,BTS
1843,LOAG51,BTS
1844,LPLP01,BTS
1845,LRMO01,BTS
1846,LSMO01,BTS
1847,BHLE17,BTS
1848,BHLE26,BTS
1849,BHLE57,BTS
1850,BHNE01,BTS
1851,BHNE02,BTS
1852,BHNE03,BTS
1853,BHNE04,BTS
1854,BHNE05,BTS
1855,BHNE06,BTS
1856,BHNE07,BTS
1857,LTCE01,BTS
1858,LUCB02,BTS
1859,LUCB99,BTS
1860,LUIT01,BTS
1861,LUIZ01,BTS
1862,LUMG01,BTS
1863,LUMO01,BTS
1864,LUPR01,BTS
1865,LVCE01,BTS
1866,LYMO01,BTS
1867,LZCE01,BTS
1868,MABT01,BTS
1869,MACA01,BTS
1870,MACU01,BTS
1871,MACZ01,BTS
1872,MAFL01,BTS
1873,MAGE01,BTS
1874,GUCE01,BTS
1875,BHNE08,BTS
1876,BHNE09,BTS
1877,BHNE10,BTS
1878,BHNE11,BTS
1879,BHNE12,BTS
1880,CTVA01,BTS
1881,CTSE01,BTS
1882,CTSF01,BTS
1883,CTSG01,BTS
1884,CTSH01,BTS
1885,CTSI01,BTS
1886,CTSI02,BTS
1887,CTSJ01,BTS
1888,CTSL01,BTS
1889,CTSN01,BTS
1890,CTSP01,BTS
1891,MTDO01,BTS
1892,MTIV01,BTS
1893,MTKM01,BTS
1894,MTMT00,BTS
1895,MTMT01,BTS
1896,MTMT02,BTS
1897,MTRD01,BTS
1898,MTRD02,BTS
1899,MTRD03,BTS
1900,MTRD04,BTS
1901,MTVG01,BTS
1902,VCBG01,BTS
1903,SPAA12,BTS
1904,SPAA13,BTS
1905,SPBF09,BTS
