CI_NAME,EQUIPTYPE
MWE-RS-SPSS04-N1,MWE
MWE-RS-SSNR01-N1,MWE
MWE-RS-STRO03-N1,MWE
MWE-RS-STRO04-N1,MWE
MWE-RS-STWR01-T1-HW,MWE
MWE-RS-SVCR01-N1,MWE
KTCE01,BTS
MWE-RJ-RJBF20-N4,MWE
MWE-RJ-RJBF48-N1,MWE
MWE-RJ-RJBG13-N1,MWE
MWE-RJ-RJBG21-N1,MWE
MWE-RJ-RJBG21-N2,MWE
MWE-RJ-RJBG21-N3,MWE
KTCE02,BTS
MWE-RJ-RJBT09-N1,MWE
MWE-RJ-RJBT35-N1,MWE
MWE-RJ-RJBT36-N1,MWE
MWE-RJ-RJBT39-N1,MWE
KTCL01,BTS
KTCR01,BTS
KTRD01,BTS
KTSC01,BTS
KTVR01,BTS
KUMO01,BTS
KVEH51,BTS
KYCE01,BTS
KZCE01,BTS
LACE01,BTS
LACE02,BTS
FXCE01,BTS
FXCE02,BTS
FZJD01,BTS
FZVN01,BTS
GACE01,BTS
GALO01,BTS
GALO02,BTS
GALO03,BTS
GALO04,BTS
GALO05,BTS
GBCE01,BTS
GCAR01,BTS
GCMO01,BTS
GEAM02,BTS
GEAM03,BTS
GEAM51,BTS
GIJG02,BTS
GIJG03,BTS
GIJG51,BTS
GKCE01,BTS
GLIR01,BTS
GLIR02,BTS
GLMO01,BTS
GLVO01,BTS
GMCT01,BTS
GMMO01,BTS
